 ,Mean
1,109.963
2,153.862
3,129.329
4,106.026
5,162.862
6,144.479
7,117.335
8,289.799
9,255.347
10,113.888
11,479.301
12,199.967
13,176.734
14,310.442
15,199.635
16,135.606
17,220.057
18,142.580
19,115.864
20,458.990
21,164.719
22,102.839
23,142.147
24,119.890
25,142.804
26,199.798
27,177.476
28,136.703
29,230.907
30,242.646
31,117.605
32,179.824
33,255.745
34,124.609
35,243.787
36,259.125
37,111.067
38,189.138
39,227.075
40,113.073
41,320.217
42,214.345
43,110.794
44,185.685
45,210.428
46,132.641
47,200.976
48,143.687
49,128.618
50,325.331
51,232.806
52,116.019
53,167.282
54,215.811
55,165.901
56,231.999
57,144.962
58,115.823
59,236.586
60,263.209
61,107.746
62,153.518
63,182.045
64,133.434
65,193.070
66,135.087
67,109.693
68,193.979
69,160.694
70,122.482
71,174.596
72,124.763
73,119.078
74,170.936
75,145.709
76,103.723
77,153.423
78,136.403
79,189.331
80,273.757
81,247.700
82,137.119
83,203.921
84,173.574
85,114.679
86,193.681
87,194.550
88,202.177
89,271.688
90,182.854
91,115.411
92,179.990
93,201.102
94,122.183
95,170.581
96,194.591
97,124.379
98,182.434
99,188.903
100,111.954
101,184.790
102,158.772
103,120.345
104,205.737
105,164.060
106,110.773
107,147.737
108,141.079
109,138.369
110,186.740
111,129.686
112,113.632
113,208.844
114,204.841
115,128.793
116,184.678
117,130.359
118,116.217
119,180.558
120,249.520
121,142.346
122,206.781
123,207.423
124,119.625
125,202.386
126,216.010
127,166.292
128,246.916
129,172.887
130,138.896
131,185.492
132,174.665
133,119.816
134,271.118
135,236.316
136,126.608
137,170.720
138,145.910
139,111.248
140,191.203
141,159.512
142,111.708
143,181.769
144,155.204
145,110.648
146,197.201
147,297.942
148,123.434
149,190.704
150,328.562
151,119.365
152,187.587
153,357.114
154,162.372
155,204.084
156,214.134
157,154.571
158,208.139
159,181.889
160,175.958
161,218.126
162,223.138
163,109.020
164,192.937
165,375.281
166,124.300
167,198.699
168,398.218
169,161.729
170,225.695
171,265.981
172,112.794
173,179.774
174,317.127
175,163.870
176,278.764
177,291.026
178,165.043
179,197.683
180,295.004
181,160.918
182,261.135
183,293.982
184,152.486
185,301.891
186,264.642
187,118.139
188,187.832
189,386.969
190,136.313
191,226.210
192,273.373
193,110.319
194,195.641
195,293.572
196,161.043
197,212.176
198,208.113
199,124.250
200,477.924
201,317.617
202,109.781
203,935.663
204,213.298
205,107.248
206,297.327
207,386.631
208,107.264
209,330.879
210,300.380
211,105.941
212,170.866
213,305.428
214,106.531
215,478.263
216,202.691
