 ,Mean
1,108.321
2,304.210
3,226.717
4,111.122
5,357.469
6,258.551
7,115.968
8,213.759
9,331.143
10,104.120
11,139.955
12,146.866
13,107.506
14,178.210
15,189.534
16,107.301
17,189.505
18,187.356
19,104.756
20,164.626
21,214.335
22,109.911
23,202.215
24,192.802
25,107.707
26,171.211
27,215.622
28,111.032
29,144.203
30,139.711
31,111.609
32,175.653
33,129.021
34,110.187
35,170.123
36,136.197
37,146.715
38,326.213
39,165.066
40,117.753
41,458.499
42,267.881
43,117.923
44,286.411
45,218.956
46,109.663
47,252.864
48,210.920
49,118.836
50,235.785
51,227.486
52,144.088
53,408.496
54,270.265
55,110.294
56,266.131
57,208.439
58,107.360
59,182.826
60,136.240
61,105.675
62,143.018
63,120.440
64,105.849
65,183.509
66,171.600
67,164.286
68,225.503
69,205.350
70,116.248
71,168.591
72,142.842
73,111.876
74,244.976
75,197.914
76,111.561
77,299.376
78,292.355
79,113.076
80,161.963
81,196.039
82,105.838
83,182.064
84,129.178
85,117.813
86,558.697
87,262.460
88,109.407
89,300.178
90,219.663
91,109.188
92,237.073
93,193.666
94,109.937
95,216.314
96,209.016
97,153.396
98,481.214
99,285.362
100,106.958
101,175.970
102,132.174
103,114.633
104,224.189
105,161.612
106,109.224
107,167.115
108,179.675
109,177.525
110,273.542
111,303.450
112,131.834
113,222.876
114,235.190
115,126.275
116,283.994
117,202.317
118,113.083
119,145.653
120,200.755
121,109.087
122,250.335
123,212.869
124,145.263
125,286.887
126,171.575
127,107.361
128,165.349
129,184.730
130,162.635
131,461.281
132,265.287
133,109.197
134,230.135
135,292.427
136,110.539
137,245.935
138,205.632
139,108.323
140,184.583
141,203.331
142,124.927
143,232.016
144,196.394
145,236.395
146,382.906
147,274.843
148,107.422
149,163.497
150,175.457
151,104.645
152,165.727
153,186.896
154,87.869
155,104.441
156,182.519
157,243.430
158,127.964
159,306.884
160,302.049
161,117.573
162,194.613
163,155.925
164,106.847
165,163.547
166,220.961
167,108.919
168,189.288
169,141.279
170,108.770
171,149.198
172,171.206
173,105.876
174,190.731
175,170.438
176,108.432
177,139.682
178,157.875
179,106.034
180,147.421
181,188.827
182,203.050
183,496.330
184,375.668
185,216.231
186,357.016
187,483.831
188,161.897
189,191.236
190,237.893
191,182.722
192,241.316
193,433.782
194,153.339
195,391.880
196,346.197
