 ,Mean
1,107.230
2,147.343
3,257.263
4,106.489
5,146.284
6,336.265
7,108.188
8,146.310
9,182.931
10,112.058
11,168.081
12,536.162
13,119.265
14,161.535
15,967.835
16,116.133
17,299.085
18,1740.285
19,109.891
20,146.785
21,493.588
22,109.185
23,161.583
24,212.949
25,111.089
26,172.289
27,426.158
28,109.383
29,155.718
30,287.068
31,112.183
32,181.786
33,349.357
34,119.662
35,158.690
36,182.031
37,105.968
38,143.775
39,155.011
40,112.866
41,156.706
42,525.439
43,104.146
44,132.514
45,302.275
46,108.332
47,143.583
48,451.068
49,108.578
50,187.312
51,154.594
52,103.843
53,145.809
54,443.532
55,105.719
56,151.947
57,603.056
58,108.203
59,139.668
60,193.744
61,114.013
62,175.182
63,978.344
64,111.768
65,143.396
66,382.712
67,106.583
68,144.195
69,209.828
70,105.097
71,133.370
72,183.921
73,117.587
74,159.913
75,285.022
76,109.047
77,162.117
78,240.269
79,111.537
80,148.689
81,370.009
82,109.860
83,172.239
84,331.451
85,106.384
86,182.106
87,228.867
88,104.959
89,137.310
90,193.840
91,115.902
92,171.255
93,555.775
94,115.505
95,153.523
96,224.009
97,113.028
98,161.802
99,367.285
100,154.133
101,187.615
102,127.392
103,144.765
104,187.195
105,221.805
106,116.838
107,173.450
108,123.308
109,106.176
110,158.059
111,492.111
112,120.808
113,245.896
114,690.076
115,105.712
116,186.684
117,240.150
118,108.774
119,203.160
120,832.736
121,105.912
122,137.918
123,164.165
124,120.718
125,164.717
126,208.121
127,108.029
128,163.857
129,512.119
130,108.944
131,156.091
132,143.499
133,108.591
134,170.879
135,208.165
136,119.061
137,180.212
138,310.355
139,118.879
140,245.979
141,686.926
142,104.733
143,145.360
144,182.301
145,106.691
146,157.753
147,405.162
148,106.162
149,165.109
150,556.539
151,153.897
152,194.782
153,471.011
154,143.771
155,177.744
156,134.712
157,223.055
158,251.642
159,173.684
160,186.383
161,217.929
162,174.963
163,129.985
164,198.826
165,193.870
166,120.847
167,191.397
168,243.815
169,127.898
170,168.252
171,136.181
172,176.027
173,289.029
174,279.421
